latitude,longtitude,time
55.739357,38.024624,13234300
55.739433,38.024841,13234800
55.739544,38.025112,13235300
55.739632,38.025318,13235800
55.739681,38.025459,13240300
55.739723,38.025597,13240800
55.739822,38.025856,13241300
55.739986,38.026241,13241800
55.740131,38.026573,13242300
55.740257,38.026871,13242800
55.740364,38.027195,13243300
55.740479,38.027508,13243800
55.740574,38.027721,13244300
55.740669,38.027977,13244800
55.740761,38.028191,13245300
55.740826,38.028358,13245800
55.740887,38.028515,13250300
55.740993,38.028774,13250800
55.741119,38.029091,13251300
55.741211,38.029373,13251900
55.741268,38.029591,13252400
55.741337,38.029850,13252900
55.741455,38.030113,13253400
55.741604,38.030396,13253900
55.741802,38.030685,13254400
55.741875,38.030991,13254900
55.741978,38.031200,13255400
55.742039,38.031372,13255900
55.742088,38.031509,13260400
55.742168,38.031666,13260900
55.742260,38.031864,13261400
55.742336,38.032093,13261900
55.742496,38.032455,13262400
55.742672,38.032822,13262900
55.742836,38.033146,13263400
55.742931,38.033375,13263900
55.743019,38.033562,13264400
55.743141,38.033802,13264900
55.743252,38.033951,13265400
55.743305,38.034019,13265900
55.743385,38.034138,13270400
55.743408,38.034359,13270900
55.743435,38.034637,13271400
55.743477,38.034744,13271900
55.743488,38.034779,13272400
55.743496,38.034786,13272900
55.743496,38.034798,13273500
55.743500,38.034809,13274000
55.743500,38.034824,13274500
55.743500,38.034836,13275000
55.743500,38.034847,13275500
55.743496,38.034855,13280000
55.743492,38.034863,13280500
55.743496,38.034859,13281000
55.743496,38.034855,13281500
55.743500,38.034855,13282000
55.743500,38.034855,13282500
55.743484,38.034981,13283000
55.743511,38.035130,13283500
55.743534,38.035206,13284000
55.743649,38.035370,13284500
55.743805,38.035583,13285000
55.743919,38.035751,13285500
55.744022,38.036003,13290000
55.744156,38.036057,13290500
55.744343,38.036034,13291000
55.744595,38.035954,13291500
55.744797,38.035847,13292000
55.744926,38.035782,13292500
55.745052,38.035736,13293000
55.745274,38.035732,13293500
55.745449,38.035854,13294000
55.745476,38.036057,13294500
55.745537,38.036259,13295100
55.745483,38.036438,13295600
55.745403,38.036629,13300100
55.745316,38.036911,13300600
55.745243,38.037235,13301100
55.745403,38.037491,13301600
55.745651,38.037811,13302100
55.745819,38.038029,13302600
55.745953,38.038189,13303100
55.746101,38.038330,13303600
55.746273,38.038513,13304100
55.746433,38.038651,13304600
55.746647,38.038853,13305100
55.746822,38.039097,13305600
55.746990,38.039337,13310100
55.747147,38.039562,13310600
55.747330,38.039795,13311100
55.747498,38.039986,13311600
55.747650,38.040165,13312100
55.747829,38.040401,13312600
55.748043,38.040539,13313100
55.748268,38.040421,13313600
55.748310,38.040112,13314100
55.748287,38.039715,13314600
55.748226,38.039318,13315100
55.748165,38.038860,13315600
55.748184,38.038651,13320100
55.748192,38.038246,13320700
55.748131,38.037876,13321200
55.748093,38.037457,13321700
55.748051,38.037067,13322200
55.747971,38.036709,13322700
55.747868,38.036392,13323200
55.747776,38.036121,13323700
55.747692,38.035892,13324200
55.747646,38.035698,13324700
55.747559,38.035576,13325200
55.747402,38.035568,13325700
55.747257,38.035530,13330200
55.747189,38.035412,13330700
55.747204,38.035358,13331200
55.747211,38.035347,13331700
55.747211,38.035320,13332200
55.747227,38.035294,13332700
55.747257,38.035263,13333200
55.747307,38.035217,13333700
55.747360,38.035172,13334200
55.747383,38.035160,13334700
55.747406,38.035095,13335200
